sta  stla  stlo  az  dist  pga  pgv
W03B 24.696583 121.811444 23.6271 126.625 1.608171 0.195084
W03C 24.632639 121.789667 24.0328 119.258 1.725893 0.239650
W03D 24.445222 121.777667 28.2778 100.102 4.117362 0.144540
W03E 24.467028 121.801083 28.7968 103.362 1.915807 0.091147
W040 24.609472 121.687139 19.7602 112.975 2.157725 0.087232
W041 24.680833 121.762111 21.8281 123.073 1.554564 0.163509
W042 24.748972 121.746917 19.9467 129.564 1.742108 0.220218
W043 24.488056 121.425639 7.19727 93.5648 1.963724 0.091236
W044 24.758722 121.814889 22.5667 133.085 1.665722 0.198223
W045 24.825472 121.820750 21.6198 140.151 1.259461 0.111518
W046 24.779889 121.744278 19.3296 132.696 1.073607 0.140806
W047 24.437966 121.380345 4.67316 87.5674 4.798186 0.211447
W048 24.579000 121.867861 28.7494 117.49 3.159465 0.108121
W049 24.724389 121.762917 21.0501 127.588 1.726268 0.168143
W04A 24.667806 121.712778 19.8742 119.934 0.838158 0.063976
W04C 24.743815 121.789883 21.8239 130.594 1.125389 0.215957
W04D 24.754000 121.754444 20.1765 130.35 2.691310 0.277654
W04E 24.622056 121.834611 26.242 120.147 1.499930 0.111859
W04F 24.593278 121.842750 27.2929 117.68 2.915648 0.187774
W050 24.900485 121.862292 21.929 149.427 0.423735 0.043352
W051 22.884722 120.663694 218.091 107.499 0.843796 0.066623
W052 22.969028 120.540917 226.361 108.978 2.931422 0.241302
W053 23.178689 120.780790 226.124 75.1676 1.851754 0.108541
W054 23.081972 120.592194 229.54 96.663 -1.487852 0.092647
W055 22.883861 120.530889 223.368 116.422 3.649629 0.553500
W056 23.160750 120.765889 225.854 77.6466 1.915066 0.132342
W059 22.996222 120.634000 223.812 100.113 1.851548 0.183986
W05A 23.031750 120.662083 224.187 95.2799 1.788992 0.111884
W05B 22.885861 120.579833 221.583 112.886 4.297479 0.373043
W05C 23.109078 120.701048 226.222 86.3974 1.805504 0.112241
W05D 23.252925 120.819205 228.849 66.699 8.609156 0.182206
W05E 22.777267 120.405773 223.938 133.822 2.315190 0.327565
W05F 22.730333 120.345639 224.298 141.847 2.504712 0.369587
W060 22.663222 120.361917 221.805 146.179 1.764956 0.242130
W061 22.917571 120.453443 227.381 119.41 3.584344 0.397966
W064 22.701639 120.348806 223.328 143.931 1.143615 0.186179
W065 22.975700 120.467500 229.255 114.03 4.477700 0.340840
W066 22.875600 120.196500 233.25 142.606 1.421926 0.306082
W067 22.878000 120.379500 228.26 127.963 2.852791 0.395717
W068 22.820900 120.209300 231.034 145.33 1.604823 0.473837
W069 22.835300 120.369600 227.033 131.918 1.364091 0.224213
W06A 22.849300 120.324400 228.872 134.297 2.708333 0.531601
W06B 22.867200 120.265000 231.173 137.658 1.628771 0.261383
W06C 22.898332 120.627109 220.142 108.681 1.790337 0.142161
W06E 23.073109 120.672564 225.697 91.2682 1.547419 0.105670
W06F 23.128456 120.719008 226.404 83.5836 3.277181 0.220663
W070 23.785400 120.950200 292.303 39.6357 16.265015 0.522517
W071 23.980917 120.686278 300.096 73.3655 1.270733 0.118324
W072 23.930820 120.990414 313.743 45.0354 17.995064 0.450728
W073 23.640194 120.869556 268.703 44.9514 13.877748 0.543319
W074 23.837444 120.902528 296.634 46.4412 4.823 NULL
W075 23.561923 120.927780 256.036 40.2101 14.657972 0.394327
W076 23.968083 121.108889 329.853 40.7566 16.790 NULL
W077 23.768917 120.707611 282.221 62.8269 1.798284 0.120585
W078 23.794111 120.942778 293.16 40.7048 9.041719 0.336320
W07A 23.736290 120.765206 279.868 56.3803 4.414995 0.182716
W07B 23.784889 120.864444 288.291 47.8279 4.367 NULL
W07C 23.942528 120.926333 309.723 50.7791 4.671084 0.249065
W07D 24.123047 121.157103 343.479 54.6581 8.824 NULL
W07E 23.942056 120.702556 297.709 69.8473 2.573264 0.164325
W07F 23.916623 121.046734 317.793 39.8994 44.117367 1.214771
W080 23.646052 120.656319 269.755 66.6943 1.984874 0.173840
W081 23.714250 120.654861 276.209 67.202 3.827337 0.219294
W083 24.086333 121.217000 348.929 49.2463 18.476427 0.523462
W084 23.890500 120.966389 307.322 44.0024 6.049081 0.259445
W085 23.931111 120.694056 296.503 70.0714 2.558920 0.186592
W087 23.593694 120.887694 261.85 43.5436 6.999093 0.250913
W089 23.827839 120.786609 290.364 56.8821 2.392652 0.156127
W08A 23.870028 120.676444 290.799 69.0288 5.570931 0.252949
W08B 23.699472 120.716889 275.293 60.7484 2.032939 0.175828
W08C 23.905694 120.637750 292.59 74.1412 1.060231 0.142265
W08D 23.925111 120.732250 297.476 66.3 2.160371 0.146390
W08E 23.809417 120.721167 286.505 62.5814 6.342182 0.390195
W08F 23.904000 120.679639 293.772 70.1388 5.147971 0.272417
W090 24.025944 120.921430 316.525 57.4529 1.977704 0.181605
W091 24.011444 120.822389 308.96 63.8018 1.153843 0.083570
W092 24.012556 120.957778 318.284 53.8537 2.809928 0.115969
W093 24.063194 120.970000 322.95 57.3918 4.227542 0.152132
W094 23.979583 120.698444 300.483 72.2202 1.503186 0.158407
W095 23.841694 120.630639 287.178 72.4422 1.872835 0.236768
W096 24.092630 120.888089 318.848 65.192 1.439360 0.130561
W097 23.941222 120.667861 296.366 72.9583 2.277421 0.106968
W098 24.059604 121.191918 345.174 46.9339 19.732376 0.559480
W099 23.697700 120.854500 276.578 46.7633 8.310764 0.263552
W09A 24.159700 121.177200 346.556 58.05 9.320472 0.408824
W09B 23.883400 120.798700 296.483 58.1776 3.164521 0.175057
W09C 24.000000 121.078500 328.727 45.3768 9.456001 0.315803
W09D 23.968800 120.966500 315.318 49.7185 3.714471 0.165042
W100 23.560300 120.874900 257.476 45.5037 7.114557 0.298023
W102 24.723280 121.158085 352.633 119.876 1.557215 0.130010
W103 23.125200 121.228700 188.154 58.7126 5.158832 0.309216
W104 22.647167 120.602278 213.267 132.617 0.778671 0.098167
W105 23.610100 120.570300 266.797 75.6089 3.884758 0.289430
W108 24.970061 121.194556 355.441 146.683 2.563208 0.357047
W109 25.040724 121.614071 11.2655 157.102 2.628397 0.276808
W10A 25.149553 121.773078 15.6965 172.611 0.424759 0.048398
W10B 25.014989 121.537161 8.6238 152.939 0.953471 0.089502
W10C 25.021383 121.536708 8.56674 153.632 1.856053 0.176548
W10D 24.982217 121.508400 7.73097 148.929 1.507673 0.173771
W10F 23.895944 121.548355 41.6829 36.5005 23.577600 1.075218
W110 22.631500 121.003600 195.607 117.079 0.711928 0.044762
W111 22.807306 121.093167 193.419 95.9285 1.440380 0.123023
W112 22.381833 120.856639 198.399 147.932 0.720265 0.069721
W113 22.969222 121.116972 194.713 77.9376 4.608950 0.124856
W114 22.998278 121.285194 182.018 72.2221 2.347893 0.148970
W116 22.878194 121.227889 185.63 85.8878 1.559293 0.108297
W117 23.412861 121.482028 146.188 31.597 16.076059 0.671076
W118 22.893583 121.063528 196.802 87.485 4.967762 0.184876
W119 22.383278 120.910944 196.335 146.125 0.537214 0.057267
